images_per_month,lambda_6mo_usd,ec2_6mo_usd
10000,0.00,91.10
10974,0.00,91.10
12045,0.00,91.10
13219,0.00,91.10
14508,0.00,91.10
15922,0.00,91.10
17475,0.00,91.10
19179,0.00,91.10
21049,0.00,91.10
23101,0.00,91.10
25353,0.00,91.10
27825,0.00,91.10
30538,0.00,91.10
33516,0.00,91.10
36783,0.00,91.10
40370,0.00,91.10
44306,0.00,91.10
48626,0.00,91.10
53366,0.00,91.10
58570,0.00,91.10
64280,0.00,91.10
70548,0.00,91.10
77426,0.00,91.10
84975,0.00,91.10
93260,0.00,91.10
102353,0.00,91.10
112332,0.00,91.10
123284,0.00,91.10
135304,0.00,91.10
148496,0.00,91.10
162975,0.00,91.10
178864,0.00,91.10
196304,0.00,91.10
215443,0.00,91.10
236448,0.00,91.10
259502,0.00,91.10
284803,0.00,91.10
312571,0.00,91.10
343046,0.00,91.10
376493,0.00,91.10
413201,0.00,91.10
453487,0.00,91.10
497702,0.00,91.10
546227,0.00,91.10
599484,0.00,91.10
657933,0.00,91.10
722080,0.00,91.10
792482,0.00,91.10
869749,0.00,91.10
954548,0.00,91.10
1047615,0.34,91.10
1149756,1.08,91.10
1261856,1.89,91.10
1384886,2.77,91.10
1519911,3.74,91.10
1668100,4.81,91.10
1830738,5.98,91.10
2009233,7.27,91.10
2205130,8.68,91.10
2420128,10.22,91.10
2656087,11.92,91.10
2915053,13.79,91.10
3199267,15.83,91.10
3511191,20.72,91.10
3853528,27.34,91.10
4229242,34.61,91.10
4641588,42.58,91.10
5094138,51.34,91.10
5590810,60.94,91.10
6135907,71.49,91.10
6734150,83.06,91.10
7390722,95.76,91.10
8111308,109.70,91.10
8902150,125.00,91.10
9770099,141.79,91.10
10722672,160.21,91.10
11768119,180.43,91.10
12915496,202.63,91.10
14174741,226.99,91.10
15556761,253.72,91.10
17073526,283.06,91.10
18738174,315.26,91.10
20565123,350.60,91.10
22570197,389.38,91.10
24770763,431.95,91.10
27185882,478.66,91.10
29836472,529.93,91.10
32745491,586.20,91.10
35938136,647.96,91.10
39442060,715.74,91.10
43287612,790.12,91.10
47508101,871.76,91.10
52140082,961.36,91.10
57223676,1059.69,91.10
62802914,1167.61,91.10
68926121,1286.05,91.10
75646332,1416.05,91.10
83021756,1558.71,91.10
91116275,1715.28,91.10
100000000,1887.12,91.10
