operation,users,locust_p95,cw_p95,overhead
edge,1,1660.0,439.11666666666673,1220.8833333333334
edge,10,4971.666666666667,446.26666666666665,4525.400000000001
edge,50,27618.333333333332,440.96666666666664,27177.36666666667
edge,100,46216.666666666664,440.98333333333335,45775.68333333333
grayscale,1,1323.3333333333333,189.28333333333333,1134.05
grayscale,10,5261.666666666667,178.29999999999998,5083.366666666667
grayscale,50,31491.666666666668,175.6,31316.066666666666
grayscale,100,46033.333333333336,175.16666666666666,45858.166666666664
resize,1,1096.6666666666667,270.68333333333334,825.9833333333335
resize,10,4773.333333333333,273.9166666666667,4499.416666666667
resize,50,28133.333333333332,271.68333333333334,27861.649999999998
resize,100,46850.0,270.45,46579.549999999996
