operation,size,users,avg_p95_ms,avg_rps,avg_error_pct
edge,large,1,3650.0,0.2,0.0
edge,large,10,12500.0,1.2,0.0
edge,large,50,63000.0,1.1,1.1
edge,large,100,97500.0,0.8,13.8
edge,medium,1,995.0,0.4,0.0
edge,medium,10,2100.0,3.3,0.0
edge,medium,50,19500.0,4.1,0.3
edge,medium,100,38000.0,3.8,2.1
edge,small,1,335.0,0.5,0.0
edge,small,10,315.0,4.6,0.0
edge,small,50,355.0,21.9,0.0
edge,small,100,3150.0,29.6,0.0
grayscale,large,1,2400.0,0.3,0.0
grayscale,large,10,13500.0,1.2,0.0
grayscale,large,50,76000.0,1.1,0.8
grayscale,large,100,99000.0,0.8,27.2
grayscale,medium,1,930.0,0.4,0.0
grayscale,medium,10,2000.0,3.5,0.0
grayscale,medium,50,18000.0,4.1,0.2
grayscale,medium,100,35000.0,3.8,1.1
grayscale,small,1,640.0,0.5,0.0
grayscale,small,10,285.0,4.6,0.0
grayscale,small,50,475.0,21.8,0.0
grayscale,small,100,4100.0,26.0,0.1
resize,large,1,2200.0,0.3,0.0
resize,large,10,12000.0,1.3,0.0
resize,large,50,63500.0,1.1,3.8
resize,large,100,96500.0,1.1,56.6
resize,medium,1,795.0,0.4,0.0
resize,medium,10,2000.0,3.4,0.0
resize,medium,50,20500.0,4.1,0.7
resize,medium,100,41000.0,3.9,4.1
resize,small,1,295.0,0.4,0.0
resize,small,10,320.0,4.5,0.0
resize,small,50,400.0,22.1,0.0
resize,small,100,3050.0,29.5,0.0
